ngram,freq,High,Low,Medium,None,max.value,max.prop
가*/JKS,1,0,0,1,0,Medium,1
가*/VV,3,0,0.333333333,0.666666667,0,Medium,0.666666667
가/JKC,17,0.176470588,0.235294118,0.588235294,0,Medium,0.588235294
가/JKS,112,0.160714286,0.107142857,0.696428571,0.035714286,Medium,0.696428571
가/VV,11,0.090909091,0.181818182,0.636363636,0.090909091,Medium,0.636363636
가/VX,9,0.111111111,0.111111111,0.666666667,0.111111111,Medium,0.666666667
가격/NNG,3,0,0,1,0,Medium,1
가까이/MAG,2,0,0.5,0.5,0,Low,0.5
가깝/VA,2,0,0.5,0.5,0,Low,0.5
가꾸/VV,1,0,0,1,0,Medium,1
가늠/NNG,1,0,0,1,0,Medium,1
가능*/NNG,1,0,0,1,0,Medium,1
가능/NNG,8,0.125,0.125,0.75,0,Medium,0.75
가능/XR,5,0.2,0,0.8,0,Medium,0.8
가도/NNG,1,0,0,1,0,Medium,1
가득/MAG,2,1,0,0,0,High,1
가로막히/VV,1,0,0,1,0,Medium,1
가르치/VV,4,0,0.25,0.75,0,Medium,0.75
가리/VV,1,1,0,0,0,High,1
가사/NNG,1,0,0,1,0,Medium,1
가스/NNG,1,0,0,1,0,Medium,1
가슴/NNG,5,0.2,0,0.8,0,Medium,0.8
가을/NNG,1,0,0,1,0,Medium,1
가장/MAG,31,0.451612903,0.032258065,0.483870968,0.032258065,Medium,0.483870968
가족/NNG,5,0.2,0,0.8,0,Medium,0.8
가증/XR,1,0,0,1,0,Medium,1
가지/NNB,3,0.333333333,0.333333333,0.333333333,0,High,0.333333333
가지/VV,9,0.111111111,0.222222222,0.555555556,0.111111111,Medium,0.555555556
가책/NNG,1,0,0,1,0,Medium,1
가출/NNG,2,0.5,0,0.5,0,High,0.5
가치/NNG,5,0,0.2,0.8,0,Medium,0.8
가타부타/NNG,1,0,1,0,0,Low,1
가파르/VA,1,0,0,1,0,Medium,1
가하/VV,1,0,0,1,0,Medium,1
각광/NNG,1,0,0,1,0,Medium,1
각국/NNG,1,0,1,0,0,Low,1
각별/XR,2,0.5,0,0.5,0,High,0.5
각별히/MAG,1,0,0,1,0,Medium,1
각성/NNG,1,0,0,1,0,Medium,1
각양각색/NNG,2,0,0,1,0,Medium,1
각종/NNG,1,1,0,0,0,High,1
간/NNB,1,0,0,1,0,Medium,1
간곡/XR,1,0,0,1,0,Medium,1
간단히/MAG,1,0,0,1,0,Medium,1
간밤/NNG,1,0,0,1,0,Medium,1
간신히/MAG,2,0,0,0.5,0.5,Medium,0.5
간주/NNG,1,0,1,0,0,Low,1
간첩/NNG,1,0,0,1,0,Medium,1
간편/XR,3,0,0,1,0,Medium,1
간호/NNG,1,0,0,1,0,Medium,1
갇히/VV,2,0,0,1,0,Medium,1
갈구/NNG,1,0,0,1,0,Medium,1
갈등/NNG,2,0,0,1,0,Medium,1
갈수록/MAG,1,0,0,1,0,Medium,1
갈피/NNG,2,0,0,1,0,Medium,1
감/NNG,2,0,0,1,0,Medium,1
감각/NNG,1,0,1,0,0,Low,1
감내/NNG,1,1,0,0,0,High,1
감독/NNG,6,0,0.666666667,0.333333333,0,Low,0.666666667
감동/NNG,2,0,0,1,0,Medium,1
감사/NNG,1,1,0,0,0,High,1
감칠맛/NNG,1,0,0,1,0,Medium,1
감탄사/NNG,1,0,0,1,0,Medium,1
갑자기/MAG,4,0,0.5,0.25,0.25,Low,0.5
갑작스레/MAG,1,0,0,1,0,Medium,1
값/NNG,5,0,0.2,0.8,0,Medium,0.8
값싸/VA,1,0,0,1,0,Medium,1
강군/NNG,1,0,0,1,0,Medium,1
강단/NNG,1,0,1,0,0,Low,1
강도/NNG,2,0.5,0,0.5,0,High,0.5
강력/XR,2,0.5,0,0.5,0,High,0.5
강렬/XR,1,0,0,1,0,Medium,1
강물/NNG,1,0,0,1,0,Medium,1
강박/NNG,1,1,0,0,0,High,1
강요/NNG,2,0,0,1,0,Medium,1
강의/NNG,1,0,0,1,0,Medium,1
강점/NNG,1,0,0,1,0,Medium,1
강제/NNG,1,0,0,1,0,Medium,1
강조/NNG,5,0.4,0,0.6,0,Medium,0.6
강하/VA,1,0,0,1,0,Medium,1
강화/NNG,4,0,0,1,0,Medium,1
강화책/NNG,1,0,0,1,0,Medium,1
갖/VV,6,0.333333333,0.166666667,0.5,0,Medium,0.5
갖가지/NNG,1,0,0,1,0,Medium,1
갖추/VV,1,0,0,1,0,Medium,1
같/VA,21,0.095238095,0,0.619047619,0.285714286,Medium,0.619047619
같이/JKB,2,0.5,0.5,0,0,High,0.5
같이/MAG,2,0.5,0.5,0,0,High,0.5
갚/VV,1,1,0,0,0,High,1
개/NNG,1,0,0,1,0,Medium,1
개념/NNG,1,0,0,1,0,Medium,1
개방/NNG,1,0,0,1,0,Medium,1
개선/NNG,3,0,0,1,0,Medium,1
개성/NNG,3,0,0,1,0,Medium,1
개인/NNG,2,0,0.5,0.5,0,Low,0.5
개입/NNG,1,0,0,1,0,Medium,1
개조/NNG,1,0,0,1,0,Medium,1
개척/NNG,1,0,0,1,0,Medium,1
개혁/NNG,4,0,0,1,0,Medium,1
객관/NNG,2,0,0,1,0,Medium,1
거/NNB,2,0,0,1,0,Medium,1
거/NP,1,0,0,1,0,Medium,1
거꾸로/MAG,1,0,0,0,1,None,1
거나/EC,8,0.125,0,0.75,0.125,Medium,0.75
거느리/VV,1,0,0,1,0,Medium,1
거대/XR,1,0,0,1,0,Medium,1
거두/VV,1,1,0,0,0,High,1
거듭/MAG,1,0,0,0,1,None,1
거듭나/VV,1,0,0,1,0,Medium,1
거룩/XR,1,0,0,1,0,Medium,1
거리/NNG,1,0,1,0,0,Low,1
거리낌/NNG,1,0,0,1,0,Medium,1
거봉/NNG,1,1,0,0,0,High,1
거부/NNG,3,0.666666667,0,0.333333333,0,High,0.666666667
거세/NNG,1,0,0,1,0,Medium,1
거세/VA,1,1,0,0,0,High,1
거울/NNG,1,0,0,1,0,Medium,1
거의/MAG,6,0.166666667,0,0.5,0.333333333,Medium,0.5
거짓/NNG,3,0,0,1,0,Medium,1
거짓말/NNG,3,0,0,1,0,Medium,1
거치/VV,2,0.5,0,0.5,0,High,0.5
거칠/VA,1,0,1,0,0,Low,1
거푸집/NNG,1,0,0,1,0,Medium,1
거품/NNG,1,0,0,1,0,Medium,1
걱정/NNG,2,0,0,1,0,Medium,1
건/NNB,1,0,0,1,0,Medium,1
건강/NNG,3,0,0,1,0,Medium,1
건대/EC,1,0,0,0,1,None,1
건드리/VV,1,0,0,1,0,Medium,1
건물/NNG,1,1,0,0,0,High,1
건배/NNG,1,0,0,1,0,Medium,1
건수/NNG,1,1,0,0,0,High,1
건실/XR,1,0,0,1,0,Medium,1
건의/NNG,2,0,0,1,0,Medium,1
건전/NNG,1,0,0,1,0,Medium,1
건축/NNG,3,0,0,1,0,Medium,1
건축물/NNG,1,1,0,0,0,High,1
걷/VV,2,0,0,1,0,Medium,1
걸/VV,4,0.25,0,0.75,0,Medium,0.75
걸리/VV,2,0,0,1,0,Medium,1
걸림돌/NNG,1,0,0,1,0,Medium,1
걸맞/VA,2,0,0,1,0,Medium,1
검사/NNG,2,0,0,1,0,Medium,1
검토/NNG,2,0,0.5,0.5,0,Low,0.5
겁/NNG,1,0,0,1,0,Medium,1
것/NNB,126,0.063492063,0.079365079,0.436507937,0.420634921,Medium,0.436507937
게*/JKB,1,0,0,1,0,Medium,1
게/EC,125,0.208,0.088,0.648,0.056,Medium,0.648
게다가/MAG,1,0,0,0,1,None,1
게든/EC,1,0,0,0,1,None,1
게양/NNG,1,0,0,1,0,Medium,1
게을리/MAG,1,0,0,1,0,Medium,1
게임/NNG,1,0,0,1,0,Medium,1
겠/EP,32,0.03125,0.1875,0.4375,0.34375,Medium,0.4375
겨냥/NNG,1,0,0,1,0,Medium,1
겨우/MAG,2,0,0.5,0,0.5,Low,0.5
겨울/NNG,1,0,0,1,0,Medium,1
격/NNB,1,0,0,1,0,Medium,1
격려/NNG,2,0,0,1,0,Medium,1
격상/NNG,1,0,0,1,0,Medium,1
격차/NNG,1,0,1,0,0,Low,1
겪/VV,2,0,0,1,0,Medium,1
견디/VV,3,0.333333333,0,0.666666667,0,Medium,0.666666667
견해/NNG,2,0,0,1,0,Medium,1
